,F5,F6,F8,F9,F10,F11,F15,F16,F17,F18,F23,F24,F31,F34,F36,F39,F41,F43,F45,F46,F47,F48,F50,F51,F53,F54,F55,F56,F61,F62,F64,F65,F66,F69,F70,F71,F72,F73,F77,F80,F85,Class
0,1.0,0.619947508,0.619946439,0.760203589,0.620021066,0.760234814,1.0,1.0,1.0,0.760261395,0.760277506,0.620069705,1.0,0.76060776,1.0,0.760342219,0.760374075,0.760360106,0.760200951,0.760300271,1.0,1.0,0.760261395,0.760297772,0.760256525,1.0,0.760277506,1.0,0.760196386,0.760209631,0.620044183,1.0,0.76060776,0.760229794,1.0,0.760342219,1.0,0.760374075,0.760200951,0.620374707,11.9565,0
1,0.760205519,0.760193762,1.0,0.760196791,1.0,0.760199543,0.76019745,0.760197971,0.760201347,0.760218538,0.760202662,1.0,0.760210703,0.760265539,0.760232034,0.760270316,0.760261127,0.760408425,0.760219164,0.760309573,0.760312167,0.760298195,0.760218538,1.0,0.760199655,0.760200251,0.760202662,0.760214855,0.760197487,0.760206187,0.760214383,0.760288378,0.760265539,0.760315688,0.760275626,0.760270316,0.760305365,0.760261127,0.760219164,0.760298195,0.116,0
2,1.0,1.0,1.0,1.0,0.760192393,1.0,0.760210637,1.0,0.760187736,1.0,1.0,1.0,0.760230111,1.0,0.760453427,1.0,1.0,1.0,0.620784532,1.0,0.760274573,1.0,1.0,0.620016193,1.0,0.620175152,1.0,1.0,1.0,1.0,1.0,0.760289306,1.0,1.0,0.620498274,1.0,1.0,0.620082123,1.0,1.0,26.6158,0
3,0.760199196,0.760199936,0.620025049,0.760199124,0.760197844,1.0,0.760204659,1.0,0.760204454,0.760221262,0.760415565,0.620113324,0.760216321,0.760391453,0.760212576,0.760187916,0.760338516,1.0,0.760260671,1.0,0.76025289,1.0,0.760221262,1.0,0.760215758,0.76020198,0.760415565,1.0,0.760212353,1.0,1.0,0.760259056,0.760391453,0.760229519,0.760247899,0.760187916,1.0,0.760338516,0.760260671,1.0,5.038,0
4,1.0,1.0,0.619962112,1.0,0.760207135,1.0,0.760189335,0.760198365,1.0,0.760219076,0.760207378,0.619989449,0.760357714,0.760250395,1.0,0.760205575,1.0,1.0,1.0,0.620174072,0.760187584,0.760210622,0.760219076,1.0,1.0,1.0,0.760207378,1.0,1.0,1.0,0.760216984,1.0,0.760250395,1.0,1.0,0.760205575,1.0,1.0,1.0,0.760210622,17.3036,0
5,0.760193917,0.619927573,1.0,0.760283012,0.760201892,0.619953047,1.0,1.0,1.0,0.760201627,0.760194392,1.0,1.0,0.760277355,1.0,0.760187575,0.760260183,0.619955426,1.0,0.760288327,1.0,1.0,0.760201627,0.760194455,0.760207055,1.0,0.760194392,1.0,1.0,0.760204964,1.0,1.0,0.760277355,0.76028981,1.0,0.760187575,1.0,0.760260183,1.0,1.0,14.3872,0
6,1.0,1.0,0.760198618,0.760197182,1.0,1.0,0.760190861,0.760192662,0.760200615,1.0,0.619928833,0.760206153,0.760210484,1.0,0.76026727,0.619911466,0.760336524,1.0,1.0,1.0,0.760374808,0.760280656,0.619978002,1.0,1.0,1.0,1.0,0.760206153,1.0,1.0,0.760207366,0.760264442,0.619965175,1.0,1.0,1.0,0.760309706,0.760336524,1.0,0.760280656,17.0178,1
7,0.76023982,0.760203923,0.760191343,1.0,0.760187536,0.760199612,0.760191718,1.0,0.760273588,1.0,1.0,0.760194184,0.760214979,1.0,1.0,1.0,1.0,0.760240845,0.76021453,0.760250812,0.760243457,1.0,0.760237836,0.760219374,0.76019211,0.760210721,1.0,0.760194184,0.760225767,0.76057664,1.0,0.760236151,0.760207156,0.760207639,0.76048792,1.0,0.760275695,0.760208899,0.76021453,1.0,3.0895,2
8,0.760242798,1.0,0.760188052,0.619971556,0.761439068,1.0,1.0,1.0,0.760188223,1.0,1.0,0.76022611,1.0,1.0,1.0,1.0,0.620069362,1.0,0.76034462,0.760351703,1.0,1.0,1.0,0.760443586,0.760188141,1.0,0.760241083,0.76022611,0.760208068,0.760199195,1.0,0.760203647,1.0,0.760237806,1.0,0.760224867,0.760216825,1.0,0.76034462,1.0,8.6038,3
9,1.0,0.76019593,0.619939836,0.76019368,0.760192104,1.0,0.619960576,0.760194789,0.760228897,0.760236309,0.760305309,0.61995827,0.620025382,0.760310793,1.0,0.76019407,0.760229539,1.0,0.760246415,0.620054774,0.619913053,0.760264294,0.760236309,1.0,1.0,0.760191549,0.760305309,1.0,0.760256326,1.0,0.760207337,1.0,0.760310793,1.0,0.761586238,0.76019407,1.0,0.760229539,0.760246415,0.760264294,18.0021,1
10,1.0,1.0,0.760197303,0.619986447,0.619936391,0.619986424,1.0,1.0,1.0,1.0,1.0,0.760201615,1.0,1.0,0.760565002,1.0,0.619912068,0.619915177,1.0,1.0,1.0,1.0,1.0,0.760681964,1.0,1.0,1.0,0.760201615,1.0,0.760190413,0.760190534,1.0,1.0,1.0,1.0,1.0,0.760731488,1.0,1.0,0.760214798,24.2047,2
11,1.0,0.760223843,1.0,0.76019539,1.0,1.0,1.0,1.0,0.76037912,1.0,1.0,1.0,1.0,1.0,0.761840726,1.0,0.760187604,1.0,0.760206932,1.0,1.0,1.0,1.0,1.0,0.760201092,0.760296897,0.760190661,1.0,0.760422428,1.0,1.0,0.76021434,1.0,0.760216988,0.760189855,0.760316174,1.0,0.760187604,0.760206932,1.0,8.9612,3
12,1.0,1.0,0.620185879,0.76022164,0.619969516,0.760194007,0.760189145,0.619940429,1.0,1.0,0.762041669,0.619922959,0.760211455,1.0,0.760206791,0.760463298,0.760420175,0.760190255,1.0,0.634900871,0.760253288,0.620471828,0.760189262,0.760191415,1.0,0.619984958,0.762041669,1.0,1.0,1.0,1.0,1.0,0.760206262,1.0,0.619994697,0.760463298,1.0,0.760420175,1.0,1.0,12.3343,0
13,0.76560915,1.0,1.0,1.0,0.760592943,0.760653819,1.0,0.760226681,0.769065181,1.0,1.0,1.0,1.0,1.0,0.760293645,1.0,1.0,0.761335318,1.0,1.0,1.0,0.760770406,1.0,0.761523794,0.780255405,0.767217622,0.76018754,1.0,1.0,0.760463407,1.0,1.0,1.0,0.760482637,0.762972263,0.767931294,1.0,0.760214033,1.0,1.0,17.3679,0
14,1.0,1.0,0.76023663,1.0,1.0,0.760193737,0.760195125,0.760220557,1.0,1.0,0.760207781,0.760199519,0.760198253,1.0,0.760320507,0.760271175,1.0,0.7602017,0.760337168,0.760219949,0.760543217,0.760669328,1.0,0.760190379,1.0,1.0,0.760207781,0.760199519,0.76018764,0.760195766,0.760309429,1.0,1.0,1.0,1.0,0.760271175,0.760202094,1.0,0.760337168,0.760669328,7.794,0
15,1.0,1.0,0.760206644,1.0,1.0,1.0,1.0,0.760207966,1.0,1.0,1.0,0.760251115,1.0,1.0,0.760251598,1.0,1.0,1.0,1.0,1.0,1.0,0.7602675,1.0,1.0,1.0,1.0,1.0,0.760251115,1.0,0.620105726,0.760187571,1.0,1.0,1.0,1.0,1.0,0.760242383,1.0,1.0,0.7602675,33.9576,0
16,0.760207535,0.760202089,1.0,1.0,0.760191422,1.0,0.760208222,1.0,0.760197365,1.0,1.0,1.0,0.760215624,1.0,0.760290142,1.0,1.0,1.0,0.760192207,0.760251312,0.760326681,1.0,1.0,1.0,0.760188856,0.76020352,1.0,0.760187737,0.760212995,0.760199485,1.0,0.760293653,1.0,0.760189306,0.760435532,1.0,0.760880332,0.760287405,0.760192207,1.0,1.8693,0
17,0.76025906,1.0,0.760227655,0.760223467,0.760210674,1.0,0.76018826,1.0,0.760188622,1.0,1.0,0.760194795,0.760279263,1.0,0.76019411,1.0,0.760394374,1.0,0.760187971,0.760222479,0.760260339,1.0,1.0,0.760188034,1.0,0.761578559,0.760361395,0.760194795,0.760193704,0.760193839,0.76019141,0.760343986,1.0,1.0,0.7605102,0.760269696,0.760286029,0.760394374,0.760187971,0.760224189,3.2644,0
18,1.0,1.0,0.760198618,0.760197182,1.0,1.0,0.760190861,0.760192662,0.760200615,1.0,0.619928833,0.760206153,0.760210484,1.0,0.76026727,0.619911466,0.760336524,1.0,1.0,1.0,0.760374808,0.760280656,0.619978002,1.0,1.0,1.0,1.0,0.760206153,1.0,1.0,0.760207366,0.760264442,0.619965175,1.0,1.0,1.0,0.760309706,0.760336524,1.0,0.760280656,16.9648,1
19,1.0,1.0,0.760982246,0.760229825,1.0,1.0,1.0,0.619921524,0.619984419,1.0,1.0,0.760188268,1.0,1.0,0.760190197,1.0,0.760248595,1.0,0.76025493,0.619923522,1.0,0.620052398,1.0,0.760199306,1.0,0.761642829,0.619927079,0.760188268,0.760248035,1.0,0.619931925,1.0,1.0,1.0,0.760193622,0.619923951,0.760222947,1.0,0.76025493,0.620052398,12.629,2
20,1.0,0.619976912,1.0,0.760203605,1.0,0.760207547,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.760288517,1.0,0.760223154,0.760339994,0.760281725,1.0,1.0,1.0,1.0,0.620131743,1.0,1.0,0.620097137,0.76021934,0.760203762,1.0,1.0,1.0,1.0,1.0,1.0,0.621027841,0.760486919,1.0,0.760281725,1.0,24.4363,3
21,1.0,0.760198829,0.620078476,0.620028381,0.760210787,0.760388703,0.619971943,1.0,0.620009143,1.0,1.0,0.619912589,0.620229196,1.0,0.76022595,1.0,0.62025124,0.761575277,0.760233966,0.760192488,0.620320235,1.0,0.760190199,1.0,1.0,0.760204154,0.619950694,1.0,0.760262406,0.760190047,0.620026581,1.0,0.760405994,1.0,0.760199334,0.62021441,1.0,1.0,0.760233966,0.620092496,16.121,1
22,0.760198341,0.760207084,0.760208693,0.760203141,1.0,1.0,1.0,0.619952662,1.0,1.0,0.620147155,0.760253019,1.0,1.0,1.0,0.620079037,0.760188671,1.0,0.760202857,0.760229549,1.0,0.620096577,1.0,0.760206297,0.619910947,0.760256199,0.620147155,0.619993692,0.760249991,1.0,1.0,1.0,1.0,0.619933058,0.760347737,0.620079037,0.619919058,0.760188671,0.760202857,1.0,15.3898,2
